"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Scenario_11","Scenario_12","Scenario_13","Scenario_14","Scenario_15","Scenario_16","Scenario_17","Scenario_18","Scenario_19","Scenario_20","Scenario_21","Scenario_22","Scenario_23","Scenario_24","Scenario_25","Scenario_26","Scenario_27","Scenario_28","Scenario_29","Scenario_30","Scenario_31","Scenario_32","Scenario_33","Scenario_34","Scenario_35","Scenario_36","Scenario_37","Scenario_38","Scenario_39","Scenario_40","Scenario_41","Scenario_42","Scenario_43","Scenario_44","Scenario_45","Scenario_46","Scenario_47","Scenario_48","Scenario_49","Scenario_50","Date"
116.741663314145,113.30689596598,120.626196958278,118.419873466543,113.082578681065,119.183479013411,128.118371299341,129.6374736945,118.319943385009,118.76590429843,127.036376136956,119.046303295975,133.757696320058,104.972460860102,111.59756721014,116.211165370083,125.458803281932,118.616712903319,124.647953553243,126.126234410456,117.832078991368,112.563398602276,122.692432913817,120.79491908488,113.394167295045,122.599814005783,124.934488196864,116.289774050505,109.777713546438,116.659610387844,132.722514822023,121.636545654681,125.856949168776,114.504421286975,118.864298218954,113.734333388705,119.625199261385,127.88394919389,129.470684516339,118.742878366745,124.154785964677,124.38707130739,117.103503437218,124.6899418235,107.250403048738,120.469361465042,123.488341757976,116.636066563238,126.302311133561,118.126063964716,2024-10-01 00:00:00
111.618292062791,96.4918792349525,126.923929896852,118.924328041218,107.662340578224,124.2493080166,123.900798854109,129.905210095375,120.325920656186,112.975895464408,126.734000992307,111.303365348635,135.501827477648,97.5573336721617,109.112235749085,108.988996712135,134.561389230718,124.784813075568,121.73768972133,132.638732062995,108.028799978683,103.046211275862,118.193514036913,120.924761733281,110.975363164575,108.044997737029,132.213715722023,102.92265531569,114.770003428536,116.382641637479,139.201984419526,119.895428457937,121.236518415731,106.363934519843,123.258582741793,107.240962405366,106.083308356313,132.655816432899,116.747285184738,116.747714587806,114.123420670761,118.905425753116,123.004062179442,121.629656739158,108.751226386359,114.447714249489,116.476712425069,112.390791201882,132.25396499567,119.490108094267,2024-10-01 01:00:00
122.750075580308,101.114581156415,123.15226751456,111.69330256082,112.476030376539,126.377853303592,133.517638196845,128.973274526156,107.3125524541,113.206434192978,127.931626046862,109.784201347686,144.824463719596,91.0557671380925,110.686460453773,115.843147528931,139.054120068664,130.028022917378,123.183750178215,135.366345233366,105.025553066389,102.554349789766,110.930864666561,117.970848186606,111.119836459809,104.981276750454,126.6475197017,109.352028843343,100.474480767476,115.201195645829,148.886593611251,121.24898311828,112.879346574375,99.6358490017084,123.628496693756,104.24413355428,94.0578353547533,136.438280656276,110.292108725144,116.717416751035,118.997110887122,117.528484479192,121.843343947599,121.981802800654,94.0688216871104,107.799015523421,117.576115586667,104.7136146119,126.061026893854,125.306746138853,2024-10-01 02:00:00
121.270445268869,86.5978743909845,123.888534172687,106.365967574975,115.969668493171,120.154711559593,129.185862144012,130.492042883541,90.0854288208159,113.034849144769,122.753968147344,106.055606047865,148.354461668848,87.6571997467021,104.987580937536,120.490488822191,142.696387148949,130.170652776051,118.783755718993,134.623389430906,107.720823041602,92.3103398311356,107.857151894036,116.041669224081,125.401787388074,93.078983158007,120.56545094294,109.91864740092,94.1341271292359,110.094422376825,148.050939098752,117.038859078281,105.829951759555,103.988592767299,130.571396260659,113.74572134712,87.4148368627114,136.517861846773,116.469246200718,108.682005213813,126.463777518048,104.945757764728,108.566927725069,112.908259610107,99.8334186344234,93.3578704884493,112.788143667698,102.328316767641,113.132270344705,114.249262268705,2024-10-01 03:00:00
119.969422577122,83.2419853065288,125.054448594492,106.373635934073,112.16377505865,122.702226291207,119.788883958249,123.518199347785,88.1680354449022,116.454011168715,112.393531645448,107.224740311275,148.636338246594,81.3833003268258,99.1403871847784,124.089577220947,124.816159405663,137.943979496969,113.240904860146,138.96462504282,107.573720172842,89.1209764769775,103.88808461724,109.095849713837,128.556194815441,83.6303066544187,121.984483296582,96.6126999051294,90.1897235838095,91.7122845539808,145.151883855553,118.021489195318,127.620035686974,106.941554808437,139.969665823852,110.264482902578,98.1833153468002,143.967905000098,118.571684093768,114.522826018956,129.044925622115,111.244784022596,106.37042102905,96.999665279529,94.2488992495369,91.8705521451853,108.42447310724,111.660365307536,110.344825177535,113.458967165089,2024-10-01 04:00:00
134.155672591985,88.9867644436455,118.909398294533,106.052292370942,113.210604119715,131.684645831504,123.879312353565,127.234892072457,91.8853857560756,126.275019012418,112.58705452132,107.797703782378,153.40652888178,79.8723788833235,106.264364820105,132.774558716769,116.256034958647,150.976840991749,109.379175227034,134.607730158395,96.3541020172495,96.2132702134451,93.0021268607597,97.5195504321691,138.661751145542,87.489401212517,116.273411653482,99.9176165394601,95.0313701241493,88.882734912283,146.42492464379,114.983023092359,117.754455657945,124.172699556925,147.695196934992,105.245607885502,96.5816663084925,153.571516421732,116.837449142197,123.559105501718,137.83207282713,110.354512462311,103.062117559664,91.3893427373463,100.429880348582,96.8950679696715,113.605423283956,103.606246878178,129.260764093795,113.291052979066,2024-10-01 05:00:00
142.890223297031,99.6538886651379,112.234301291012,112.962453284208,118.135528095682,136.841349388796,134.035527988712,134.256539793034,107.790943186514,127.208270828284,112.492353029872,121.345607873969,165.978896499461,89.6024025852659,97.4776926972454,152.20750655445,124.375560198468,158.360054513228,115.451666759518,133.491596124686,116.011142111372,112.35190942609,101.122833059022,111.907598823726,152.793641156581,90.4733144716362,122.618164524107,106.167343838748,95.6713029933746,85.2875590467203,148.497723752909,122.22990615332,124.32363238336,137.527867032564,158.024160547524,106.607073782,100.1283854587,153.088527575251,126.436876988866,141.133691361298,153.160856716076,124.388831803025,115.735527985589,90.7192364930645,109.785816303677,104.924915680143,130.528362064648,91.3704545830839,133.581489592592,111.038458391296,2024-10-01 06:00:00
148.850674535697,118.020562865447,113.452694883854,124.008964513486,133.549533999976,133.790167359541,139.115427215055,133.329522108069,123.678980996092,141.35098348654,128.637341503109,129.978116570137,185.378756521881,111.74089867924,122.313324226111,181.883847989335,124.246299687886,171.812726397955,124.913257697779,147.456787418994,129.498546615694,112.027661357523,126.944861211036,132.58841871334,166.615777488516,110.031633186503,124.771513646585,128.652868339102,108.754216524763,104.380600526704,169.456357511991,133.290716716669,140.950259587183,155.410509122275,169.324959629358,125.762701340578,118.768385694934,165.566447512043,147.359121946739,160.020775543616,163.103520097681,148.33110491379,137.837756989297,100.327125457606,136.093265171601,118.015082708384,137.548866975924,117.085136643184,148.04277255994,122.350929576175,2024-10-01 07:00:00
149.184067390718,118.177605785214,122.545007363462,131.606946513252,148.575649845949,148.492115679603,132.930642755352,149.813965887719,132.150534621144,151.538120567196,134.431976242458,134.116508452139,191.115982431759,114.820126603254,129.676278033308,184.246687747483,126.636307757734,175.038719062227,132.905800650477,162.312647448264,141.714592525803,107.48770365579,137.601669241575,135.623024025697,170.943723917964,132.419942116857,126.814489429977,124.749884316264,123.418576616259,110.709913303338,172.089233848064,140.383720514282,145.025448123959,161.594451751661,177.054449125698,130.779376979168,134.941309972516,170.974653944009,149.962873069106,171.245560991012,164.544382500224,155.29570543826,143.48614712285,99.888440499919,154.43293883002,122.958404227496,137.469917409724,119.743106407133,158.661532492948,129.256655802704,2024-10-01 08:00:00
125.107782813433,101.374139416869,98.9603362117764,108.593894062495,122.964091503529,123.479400178965,110.550731126889,120.925787598157,111.853559406854,126.744304438683,109.261378482852,96.3719817269084,184.524109340036,93.2521418246337,112.032795711548,154.934914440917,98.9251719514684,156.33659059698,110.299068741801,146.214307070149,122.93114350225,86.4792684981861,121.995303123753,105.372858863071,140.896389499054,119.872228549748,96.4352858226596,86.9954145755752,94.3956524053567,79.4450843993681,152.908826384095,116.055940228418,130.700241859627,151.289179769893,161.731268635512,104.898971647538,113.501635049826,147.277030550069,133.300872594465,162.012261431105,141.798938799486,137.117612387237,118.995229437012,71.0438949503315,127.880796524232,100.410918048239,103.05621190071,109.605650491502,135.534964191674,100.739434820157,2024-10-01 09:00:00
